Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,154.0,1.0,154.0,154.0,0.1,38.102999999999966,0.0,0.0,0.005121469497680664,,,,,,,,,,,,,,,,,,,,,13.436088545986532,11.720363287706023,36.21154733706954,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,243.0,2.0,89.0,243.0,0.1,21.058000000000007,0.0,0.0,8.325960636138916,,,,,,,,,,,,,,,,,,,,,8.309640483234254,6.742307813450207,20.378518436123734,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,410.0,3.0,167.0,410.0,0.1,53.60499999999993,0.0,0.0,23.758986949920654,,,,,,,,,,,,,,,,,,,,,22.020216747477125,15.001908508247665,50.02762903360949,-2.4950049975005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,467.0,4.0,57.0,467.0,0.1,10.537999999999993,0.0,0.0,29.428171157836914,,,,,,,,,,,,,,,,,,,,,2.4732057740740183,3.6603279650391034,10.427279837979489,-2.4950049975005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,727.0,5.0,260.0,727.0,0.1,86.16100000000003,0.0,0.0,52.59223198890686,,,,,,,,,,,,,,,,,,,,,42.406311094116454,21.97333142832897,75.36021575651225,-1.9970019995000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,941.0,6.0,214.0,941.0,0.1,68.13599999999988,0.0,0.0,71.9366865158081,,,,,,,,,,,,,,,,,,,,,28.082703033732898,19.966368712345542,62.496357479299846,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,969.0,7.0,28.0,969.0,0.1,4.014,0.0,0.0,75.16157722473145,,,,,,,,,,,,,,,,,,,,,0.4643429549193718,2.5245850439185036,4.018057534525025,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1067.0,8.0,98.0,1067.0,0.1,26.55700000000002,0.0,0.0,84.15854668617249,,,,,,,,,,,,,,,,,,,,,9.430209635990265,9.267886776855121,25.733624651440564,-4.4820419370629585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1405.0,9.0,338.0,1405.0,0.1,117.21100000000034,0.0,0.0,113.99713182449341,,,,,,,,,,,,,,,,,,,,,52.61345019932476,29.921277928587102,99.62680782146332,-2.992509992503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1444.0,10.0,39.0,1444.0,0.1,8.017999999999997,0.0,0.0,117.94232153892517,,,,,,,,,,,,,,,,,,,,,1.3016063178923278,3.468938546528919,7.990185947878183,-3.9860279650279864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
